iso_code,location,continent,total_cases
MCO,Monaco,Europe,6134.956834532374
MDA,Moldova,Europe,313753.05520361994
MDG,Madagascar,Africa,40960.560550458715
MDV,Maldives,Asia,91292.75294117647
MEX,Mexico,North America,3628329.649687221
MHL,Marshall Islands,Oceania,3725.9321058688147
MKD,North Macedonia,Europe,183709.49506726456
MLI,Mali,Africa,17919.65561694291
MLT,Malta,Europe,51364.87793851718
MMR,Myanmar,Asia,348341.60018382355
MNE,Montenegro,Europe,141645.9607305936
MNG,Mongolia,Asia,449097.23956442834
MNP,Northern Mariana Islands,Oceania,4833.15988909427
MOZ,Mozambique,Africa,127000.35537190082
MRT,Mauritania,Africa,34330.867941712204
MSR,Montserrat,North America,386.128087831656
MTQ,Martinique,North America,81507.54347826086
MUS,Mauritius,Africa,101172.64958828912
MWI,Malawi,Africa,51201.15120593692
MYS,Malaysia,Asia,2098105.032286213
MYT,Mayotte,Africa,22404.3014571949
NAM,Namibia,Africa,96355.31996353692
NCL,New Caledonia,Oceania,27082.232387923148
NER,Niger,Africa,5834.857273559011
NGA,Nigeria,Africa,170793.71133093524
NIC,Nicaragua,North America,9360.346153846154
NIU,Niue,Oceania,197.55913978494624
NLD,Netherlands,Europe,3682990.659478886
NOR,Norway,Europe,586528.2060660125
NPL,Nepal,Asia,574888.276762402
NRU,Nauru,Oceania,3526.809798270893
NZL,New Zealand,Oceania,534046.7475292004
OMN,Oman,Asia,247330.65949820788
OWID_KOS,Kosovo,Europe,140499.864422202
PAK,Pakistan,Asia,975823.4349775785
PAN,Panama,North America,512255.66485013627
PCN,Pitcairn,Oceania,4.0
PER,Peru,South America,2283533.4588235295
PHL,Philippines,Asia,2021038.2445223487
PLW,Palau,Oceania,3694.2136602451837
PNG,Papua New Guinea,Oceania,23254.773602199817
POL,Poland,Europe,3329555.247292419
PRI,Puerto Rico,North America,371999.8056312443
PRT,Portugal,Europe,2192944.0954954955
PRY,Paraguay,South America,391574.04533091566
PSE,Palestine,Asia,385172.38934056007
PYF,French Polynesia,Oceania,39187.546279491835
QAT,Qatar,Asia,256621.2167266187
REU,Reunion,Africa,175392.89990900818
ROU,Romania,Europe,1597390.7479820629
RUS,Russia,Europe,9541628.661700264
RWA,Rwanda,Africa,71564.73017319964
SAU,Saudi Arabia,Asia,523681.14594594593
SDN,Sudan,Africa,39598.410746812384
SEN,Senegal,Africa,54237.85135135135
SGP,Singapore,Asia,642022.4886759582
SHN,Saint Helena,Africa,1677.8642533936652
SLB,Solomon Islands,Oceania,8879.747203579418
SLE,Sierra Leone,Africa,5285.193518518518
SLV,El Salvador,North America,105024.3250915751
SMR,San Marino,Europe,9319.564240790656
SOM,Somalia,Africa,16444.981751824816
SPM,Saint Pierre and Miquelon,North America,1092.8685927306617
SRB,Serbia,Europe,1125413.377034358
SSD,South Sudan,Africa,11276.813953488372
STP,Sao Tome and Principe,Africa,3530.5251396648046
SUR,Suriname,South America,40785.09124087591
SVK,Slovakia,Europe,824644.849909584
SVN,Slovenia,Europe,524165.56859205774
SWE,Sweden,Europe,1306288.7414548642
SWZ,Eswatini,Africa,39551.69581056466
SXM,Sint Maarten (Dutch part),North America,5280.581501831502
SYC,Seychelles,Africa,22520.041020966273
SYR,Syria,Asia,32648.23140495868
TCA,Turks and Caicos Islands,North America,3393.2601102941176
TCD,Chad,Africa,4811.557692307692
TGO,Togo,Africa,20777.593128390596
THA,Thailand,Asia,1836638.8602243313
TJK,Tajikistan,Asia,14660.88380952381
TKL,Tokelau,Oceania,5.0
TLS,Timor,Asia,12440.631868131868
TON,Tonga,Oceania,10123.111332007953
TTO,Trinidad and Tobago,North America,77065.84790528234
TUN,Tunisia,Africa,587195.4117117117
TUR,Turkey,Asia,8191052.035422344
TUV,Tuvalu,Oceania,1139.8657718120805
TZA,Tanzania,Africa,18898.804566210045
UGA,Uganda,Africa,96213.3752293578
UKR,Ukraine,Europe,2778989.133453562
URY,Uruguay,South America,459953.6809480401
USA,United States,North America,46671168.393229164
UZB,Uzbekistan,Asia,147692.23996350364
VAT,Vatican,Europe,22.852488687782806
VCT,Saint Vincent and the Grenadines,North America,4496.765241128299
VEN,Venezuela,South America,313339.9107468124
VGB,British Virgin Islands,North America,3216.457142857143
VIR,United States Virgin Islands,North America,9950.866544789762
VNM,Vietnam,Asia,3821931.0191804706
VUT,Vanuatu,Oceania,4502.705607476635
WLF,Wallis and Futuna,Oceania,924.7087599544938
WSM,Samoa,Oceania,6172.361676646707
YEM,Yemen,Asia,7426.809523809524
ZAF,South Africa,Africa,2384745.8318264014
ZMB,Zambia,Africa,181145.73376029276
ZWE,Zimbabwe,Africa,130232.54170485793
