location,year,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Norway,2021,48545001.0,246734.0,1576230209.0,873459498.0,655047643.0,47723068.0
Norway,2022,408209755.0,959406.0,3554469408.0,1348809420.0,1254594387.0,951065601.0
Oman,2021,304761.0,4480.0,5934585.0,3120714.0,2889245.0,32412.0
Oman,2022,1174488.0,13862.0,21085352.0,9755556.0,9094054.0,2235742.0
Pakistan,2022,220452394.0,4367356.0,36827434196.0,19275670047.0,17368488599.0,2639168946.0
Pakistan,2023,7881912.0,153200.0,1651713911.0,803527871.0,688269376.0,249389064.0
Palestine,2022,9963665.0,84950.0,55876084.0,30072734.0,26540603.0,4934787.0
Panama,2021,5704318.0,88010.0,70553304.0,36700819.0,32328939.0,1523546.0
Panama,2022,38059677.0,376671.0,367596343.0,157237042.0,139997424.0,70361877.0
Panama,2023,5143092.0,42953.0,43608950.0,17618257.0,15833806.0,10102803.0
Papua New Guinea,2022,680392.0,9994.0,10116279.0,5304226.0,4407713.0,404340.0
Papua New Guinea,2023,280652.0,4019.0,4303169.0,2233894.0,1872112.0,197163.0
Paraguay,2021,4629649.0,164244.0,60839946.0,32831859.0,26621657.0,1386430.0
Paraguay,2022,16919035.0,484476.0,223793040.0,99717989.0,86833105.0,37241946.0
Paraguay,2023,4385844.0,118598.0,57254103.0,23896800.0,21231184.0,12126119.0
Peru,2021,173748623.0,15677547.0,3227192805.0,1710719701.0,1422726875.0,93746229.0
Peru,2022,1365031629.0,77838699.0,27598360768.0,10600352828.0,9841588513.0,7156419427.0
Peru,2023,295589606.0,14448475.0,5769163575.0,1999015930.0,1880769640.0,1889378005.0
Philippines,2022,93391966.0,1500606.0,3909896762.0,1852383865.0,1742010760.0,442099729.0
Philippines,2023,32579707.0,526422.0,1362022653.0,627440239.0,591942354.0,172320453.0
Poland,2021,192459803.0,4616908.0,2314912150.0,1145368352.0,1122647952.0,178163900.0
Poland,2022,1986075417.0,38482988.0,18396629044.0,7589886243.0,7497523148.0,4242136330.0
Poland,2023,402563509.0,7480998.0,3646134047.0,1440528931.0,1426160482.0,961093972.0
Portugal,2021,47816857.0,869417.0,495316316.0,280201128.0,225106082.0,17556059.0
Portugal,2022,237893331.0,1217229.0,1290269521.0,506713598.0,458798037.0,338895569.0
Portugal,2023,44503888.0,208186.0,224607479.0,78238275.0,71151716.0,56332274.0
Qatar,2022,13079143.0,20453.0,221910742.0,83390368.0,83389359.0,55131015.0
Qatar,2023,3449968.0,4802.0,53243260.0,19960052.0,19960049.0,13323159.0
Russia,2021,714134353.0,20285439.0,9206403214.0,4822292568.0,4194428682.0,263525958.0
Russia,2022,2504254452.0,53116460.0,24056283217.0,11698076501.0,10648271338.0,2021639328.0
Russia,2023,220200145.0,3951923.0,1849400142.0,880731232.0,792712572.0,198344278.0
Rwanda,2022,1440917.0,16085.0,250332644.0,101306074.0,94430528.0,48303096.0
Rwanda,2023,132979.0,1467.0,26106436.0,10572981.0,9897876.0,5879013.0
Saint Kitts and Nevis,2021,16840.0,168.0,323912.0,164766.0,151932.0,7214.0
Saint Kitts and Nevis,2022,61569.0,416.0,696964.0,351037.0,313540.0,32387.0
Saint Lucia,2022,994827.0,14602.0,4686122.0,2303821.0,2095128.0,287173.0
Saint Vincent and the Grenadines,2022,498302.0,6214.0,4031996.0,2089243.0,1741490.0,201263.0
Saint Vincent and the Grenadines,2023,28697.0,365.0,220004.0,112454.0,94798.0,12752.0
Samoa,2022,169508.0,302.0,5540805.0,2463276.0,2169590.0,902013.0
Samoa,2023,65470.0,116.0,1801344.0,764876.0,711088.0,320288.0
San Marino,2022,130860.0,1001.0,599533.0,233284.0,208748.0,157501.0
Sao Tome and Principe,2022,85937.0,1053.0,3112707.0,1745671.0,1389406.0,355655.0
Saudi Arabia,2021,31363861.0,503764.0,2724183462.0,1405142356.0,1282559096.0,36482443.0
Saudi Arabia,2022,37334099.0,500464.0,3177802446.0,1428777814.0,1327566762.0,421458162.0
Senegal,2022,354843.0,7872.0,10305829.0,7155958.0,5111713.0,2321260.0
Senegal,2023,355634.0,7881.0,11617396.0,9590491.0,5737245.0,3084137.0
Serbia,2021,71049810.0,650571.0,479854118.0,216554264.0,207174956.0,56128102.0
