location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Botswana,161076.08675373133,284.2741379310345,792510.6585365854,1050742.25,631885.7571428572,376790.45454545453,37.09516279069768,4.044,15807.374,2021.114655172414
Brazil,19032153.095022626,32045.484874675887,34192178.00554017,288514990.81395346,133768560.35672514,73750529.48214285,49.49085581395349,25.04,14103.452,2021.1211340206185
British Virgin Islands,3182.2592936802976,6.297413793103448,96630.0,33478.020833333336,17415.297872340427,3726.0,,207.973,,2021.114655172414
Brunei,73326.7813357731,241.94909404659188,92899.33333333333,444702.57731958764,227171.04123711342,304128.86363636365,40.102213953488366,81.347,71809.251,2021.114655172414
Bulgaria,620759.4611872146,1118.3129310344827,2658262.536723164,3117417.21875,714467.6653061224,627434.8162162162,36.8741023255814,65.18,18563.307,2021.1195184866724
Burkina Faso,13299.305580969807,19.013793103448275,313235.4117647059,1735872.7567567567,1498276.794117647,,21.86084651162791,70.151,1703.102,2021.114655172414
Burundi,21652.164332399625,46.233620689655176,1430466.2564102565,14379.092592592593,13189.072727272727,98.61538461538461,16.159572093023257,423.062,702.225,2021.114655172414
Cambodia,69629.39295154186,119.58534482758621,2021257.1868131869,20019025.558558557,9462736.146929825,3760173.202586207,46.12175813953488,90.672,3645.07,2021.114655172414
Cameroon,76451.55748175182,107.23448275862069,2620328.0,1090563.6,736608.690140845,211104.66666666666,32.15798139534884,50.885,3364.926,2021.114655172414
Canada,1963156.8847845206,3979.7742214532873,28939633.346522782,59483811.896103896,25085427.070721358,12421030.08910891,51.294046511627904,4.037,44017.591,2021.114655172414
Cape Verde,34494.90027700831,54.52068965517241,,434532.1076923077,237051.70491803277,346.1111111111111,47.465348837209305,135.58,6222.554,2021.114655172414
Cayman Islands,10926.669421487602,27.131034482758622,5501.0,93023.88888888889,45932.0,23480.31818181818,,256.496,49903.029,2021.114655172414
Central African Republic,10077.07868252516,13.247413793103448,87644.5294117647,971030.5370370371,1020483.7446808511,172319.64705882352,24.370427906976744,7.478999999999999,661.24,2021.114655172414
Chad,4787.715604801478,6.61896551724138,207780.45454545456,1164906.1929824562,1117257.3818181818,1940016.25,36.374381395348834,11.833,1768.153,2021.114655172414
Chile,2118434.409791478,4467.551724137931,15440941.120731708,40628281.49473684,14627146.967105264,17841802.750458717,52.972688372093025,24.282,22767.037,2021.1195184866724
China,7622882.31147541,85439.31293103448,3154666666.6666665,2522480202.7982326,1258064782.6086957,663345904.7619047,71.47002790697674,147.674,15308.711999999998,2021.114655172414
Colombia,3829895.180987203,5518.883882149047,17041000.67471591,38961688.82028986,22647196.584837545,8198852.777777778,51.64713488372093,44.223,13254.949,2021.114655172414
Comoros,4891.909702209414,7.75948275862069,53258.0,373026.64705882355,226787.26666666666,,,437.352,1413.89,2021.114655172414
Congo,14836.157169117647,21.626724137931035,391523.0,423502.4736842105,330930.1666666667,,44.38142325581395,15.405,4881.406,2021.114655172414
Cook Islands,5398.00518134715,6.061206896551724,,25885.333333333332,12634.592592592593,10139.833333333334,,,,2021.114655172414
